,fips,EP_Percent2020,MP_Percent2020,BP_Percent2020,Cath_Percent2020,Orth_Percent2020,Other_Percent2020,Islam_Percent2020,Jewish_Percent2020,Hindu_Percent2020,Budd_Percent2020,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters
1872,36073,5.85,9.0,1.26,15.48,0.0,1.03,10.27,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1873,36075,5.23,5.98,0.0,23.42,0.0,1.65,0.0,0.0,0.0,0.0,Catholic,Catholic,Pluralistic,Cath-Less,Cath-Less
1874,36077,5.32,11.87,0.0,11.07,0.08,2.68,0.0,0.29,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1875,36079,0.79,2.83,0.0,42.82,0.2,0.74,0.0,0.48,0.0,0.51,Catholic,Catholic,Catholic,Cath,Cath-High
1876,36081,4.77,1.67,2.21,31.32,0.92,0.25,7.41,3.56,1.7,0.66,Catholic,Catholic,Catholic,Cath-Less,Cath-Less
1877,36083,3.37,4.82,0.81,20.11,0.3,0.58,0.0,0.31,0.0,0.06,Catholic,Pluralistic,Pluralistic,Cath-Less,Cath-Less
1878,36085,3.99,1.81,0.15,47.47,1.04,0.27,4.09,1.34,0.12,0.14,Catholic,Catholic,Catholic,Cath,Cath-High
1879,36087,5.3,2.05,0.97,32.06,0.98,1.22,2.12,19.17,0.59,0.01,Catholic,Catholic,Catholic,Cath-Less,Cath-Less
1880,36089,8.72,5.02,0.0,22.38,0.05,2.14,0.55,0.0,0.52,0.0,Catholic,Pluralistic,Pluralistic,Cath-Less,Cath-Less
1881,36091,6.01,5.02,0.01,19.94,0.11,0.8,0.44,0.39,2.12,0.0,Pluralistic,Pluralistic,Pluralistic,Cath-Less,Cath-Less
1882,36093,3.4,4.73,0.76,20.92,0.21,1.8,1.99,1.29,0.0,0.18,Catholic,Pluralistic,Pluralistic,Cath-Less,Cath-Less
1883,36095,8.35,7.48,0.13,6.21,0.24,2.62,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1884,36097,1.6,37.36,0.0,12.56,0.0,0.99,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,"MP,Cath","MP, Cath","MP, Cath"
1885,36099,12.0,6.12,0.0,15.91,0.0,2.32,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1886,36101,14.27,7.43,0.0,13.44,0.06,2.49,0.0,0.01,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1887,36103,3.64,3.19,0.72,54.9,0.44,1.08,1.87,1.13,0.02,0.16,Catholic,Catholic,Catholic,Cath,Cath-High
1888,36105,1.8,4.03,0.25,16.94,0.08,1.11,0.51,5.28,2.05,1.5,Pluralistic,Pluralistic,Pluralistic,Cath-Less,Cath-Less
1889,36107,8.16,11.53,0.0,12.76,0.2,1.74,0.0,0.0,0.0,0.06,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1890,36109,8.57,6.41,0.24,6.86,0.19,1.98,1.13,1.03,0.11,3.3,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1891,36111,2.63,6.05,0.97,21.23,0.24,2.65,0.33,0.55,0.68,0.65,Catholic,Pluralistic,Pluralistic,Cath-Less,Cath-Less
1892,36113,4.91,5.25,0.15,22.21,0.0,1.84,0.0,0.55,0.0,0.0,Catholic,Pluralistic,Pluralistic,Cath-Less,Cath-Less
1893,36115,3.96,7.72,0.0,13.98,0.0,1.78,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1894,36117,5.87,7.52,0.66,15.52,0.0,2.42,0.0,0.0,0.22,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1895,36119,3.82,3.73,2.24,41.08,0.67,1.45,2.24,4.23,0.3,0.25,Catholic,Catholic,Catholic,Cath,Cath-High
1896,36121,5.57,7.42,0.0,16.87,0.0,1.07,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Cath-Less,Pluralistic
1897,36123,7.33,11.57,0.0,11.69,0.0,3.14,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1898,37001,21.23,10.52,3.31,6.8,0.08,1.97,0.32,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1899,37003,47.51,10.45,0.53,4.25,0.0,0.46,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1900,37005,30.86,9.04,1.38,10.5,0.0,3.04,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1901,37007,41.02,8.01,24.29,3.13,0.0,0.67,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1902,37009,31.4,8.06,0.0,5.51,0.0,0.49,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1903,37011,30.05,6.08,1.38,6.74,0.0,1.38,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1904,37013,30.03,10.75,6.47,4.55,0.0,2.25,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1905,37015,29.83,2.97,14.05,0.45,0.0,1.19,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1906,37017,36.01,8.56,22.72,1.7,0.0,0.51,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1907,37019,16.41,6.83,3.13,11.02,0.0,2.24,0.0,0.0,0.0,1.15,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1908,37021,33.88,7.27,1.76,7.23,0.16,1.54,0.1,0.3,0.19,0.04,EP,EP-Less,EP-Less,EP-Less,EP-Least
1909,37023,44.85,7.87,3.31,5.17,0.0,1.77,0.14,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1910,37025,28.85,8.49,2.39,11.05,0.0,1.76,1.41,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1911,37027,43.43,6.3,1.62,4.99,0.0,1.01,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1912,37029,16.02,6.6,16.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1913,37031,14.94,11.99,1.96,4.77,0.0,2.42,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1914,37033,21.24,8.11,11.92,0.0,0.0,1.55,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1915,37035,28.69,17.97,1.92,8.37,0.02,1.83,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1916,37037,18.39,7.73,8.21,4.79,0.0,2.06,0.0,0.0,0.0,0.04,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1917,37039,29.14,6.55,0.79,5.65,0.22,2.01,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1918,37041,76.40000000000002,8.880000000000003,8.55,9.53,0.06,3.19,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-High
1919,37043,54.9,11.11,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1920,37045,44.17,6.37,5.35,2.92,0.0,1.38,0.0,0.0,0.0,0.3,EP,EP-High,EP-High,EP-High,EP-Less
1921,37047,40.74,5.34,6.11,1.85,0.0,2.14,0.24,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Less
1922,37049,20.0,10.74,8.58,9.89,0.0,2.1,0.91,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1923,37051,37.84,6.68,7.53,6.36,0.24,2.45,0.72,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1924,37053,11.86,6.03,2.23,1.07,0.0,2.1,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1925,37055,18.19,17.13,0.0,13.3,0.0,1.93,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,"MP,Cath",Pluralistic,Pluralistic
1926,37057,18.54,11.3,1.55,6.11,0.0,1.2,0.95,0.0,0.0,0.31,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
1927,37059,19.91,16.41,2.79,8.52,0.0,0.99,0.0,0.0,0.0,0.0,Pluralistic,Pluralistic,Pluralistic,Pluralistic,Pluralistic
