,fips,EP_Percent2020,MP_Percent2020,BP_Percent2020,Cath_Percent2020,Orth_Percent2020,Other_Percent2020,Islam_Percent2020,Jewish_Percent2020,Hindu_Percent2020,Budd_Percent2020,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters
1579,29179,55.73,2.0,1.94,0.43,0.0,0.02,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1580,29181,30.66,2.04,0.94,1.69,0.0,0.0,0.0,0.0,0.0,0.0,EP,EP-Less,EP-Less,EP-Less,EP-Least
1581,29183,14.5,5.86,0.09,26.95,0.0,1.62,0.62,0.0,0.0,0.0,Catholic,Catholic,Catholic,Cath-Less,Cath-Less
1582,29185,43.89,4.72,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1583,29186,12.77,0.64,0.0,35.25,0.0,0.32,0.0,0.0,0.0,0.0,Catholic,Catholic,Catholic,Cath-Less,Cath-Less
1584,29187,27.76,3.57,0.15,4.95,0.01,1.34,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1585,29189,13.05,5.94,2.04,25.58,0.32,1.21,1.31,0.02,0.48,0.78,Catholic,Catholic,Catholic,Cath-Less,Cath-Less
1586,29195,28.41,6.8,1.51,10.24,0.0,1.84,0.0,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
1587,29197,48.39,4.17,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1588,29199,47.77,12.38,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,EP,EP-High,EP-High,EP-High,EP-Less
1589,29201,29.1,6.66,1.28,15.45,0.0,1.45,0.32,0.0,0.0,0.0,Pluralistic,EP-Less,EP-Less,EP-Less,EP-Least
